,data,t_media,dayname,somma_polli,feste,fenomeni,Chievo,Hellas,Inter,Italia,Juventus,Lazio,Milan,Napoli
237,2015-10-03,17,sabato,40,0,pioggia ,0,0,0,0,0,0,0,0
238,2015-10-04,17,domenica,31,0,pioggia temporale ,0,0,0,0,0,0,0,0
239,2015-10-06,17,martedì,26,0,pioggia ,0,0,0,0,0,0,0,0
240,2015-10-07,18,mercoledì,23,0,pioggia temporale nebbia ,0,0,0,0,0,0,0,0
241,2015-10-08,18,giovedì,22,0,pioggia ,0,0,0,0,0,0,0,0
242,2015-10-09,17,venerdì,29,0,sole,0,0,0,0,0,0,0,0
243,2015-10-10,16,sabato,44,0,sole,0,0,0,0,0,0,0,0
244,2015-10-11,16,domenica,38,0,sole,0,0,0,0,0,0,0,0
245,2015-10-13,14,martedì,25,0,pioggia ,0,0,0,0,0,0,0,0
246,2015-10-14,15,mercoledì,30,0,pioggia ,0,0,0,0,0,0,0,0
247,2015-10-15,14,giovedì,26,0,pioggia ,0,0,0,0,0,0,0,0
248,2015-10-16,11,venerdì,35,0,pioggia temporale ,0,0,0,0,0,0,0,0
249,2015-10-17,11,sabato,47,0,sole,0,0,0,0,0,0,1,0
250,2015-10-18,12,domenica,36,0,pioggia ,1,0,1,0,1,1,0,1
251,2015-10-20,11,martedì,24,0,sole,0,0,0,0,0,0,0,0
252,2015-10-21,10,mercoledì,21,0,sole,0,0,0,0,0,0,0,0
253,2015-10-22,10,giovedì,27,0,sole,0,0,0,0,0,0,0,0
254,2015-10-23,10,venerdì,30,0,sole,0,0,0,0,0,0,0,0
255,2015-10-24,11,sabato,46,0,sole,0,0,1,0,0,0,0,0
256,2015-10-25,11,domenica,36,0,sole,1,0,0,0,1,1,1,1
257,2015-10-27,12,martedì,27,0,sole,0,0,1,0,0,0,0,0
258,2015-10-28,13,mercoledì,25,0,pioggia ,1,0,0,0,1,1,1,1
259,2015-10-29,13,giovedì,24,0,pioggia ,0,0,0,0,0,0,0,0
260,2015-10-30,14,venerdì,33,0,nebbia ,0,0,0,0,0,0,0,0
261,2015-10-31,12,sabato,52,0,sole,0,0,1,0,1,0,0,0
262,2015-11-01,10,domenica,32,Ognissanti,sole,1,0,1,0,1,1,0,1
263,2015-11-03,9,martedì,25,0,sole,0,0,0,0,0,0,0,0
264,2015-11-04,11,mercoledì,25,0,sole,0,0,1,0,1,0,0,0
265,2015-11-05,11,giovedì,26,0,sole,0,0,0,0,0,0,0,0
266,2015-11-06,12,venerdì,32,0,sole,0,0,0,0,0,0,0,0
267,2015-11-07,12,sabato,56,0,sole,0,0,0,0,0,0,0,0
268,2015-11-08,12,domenica,28,0,sole,0,0,0,0,0,0,0,0
269,2015-11-10,9,martedì,30,0,sole,0,0,0,0,0,0,0,0
270,2015-11-11,7,mercoledì,30,0,sole,0,0,0,0,0,0,0,0
271,2015-11-12,9,giovedì,33,0,sole,0,0,0,0,0,0,0,0
272,2015-11-13,8,venerdì,36,0,sole,0,0,0,0,0,0,0,0
273,2015-11-14,9,sabato,49,0,sole,0,0,0,0,0,0,0,0
274,2015-11-15,8,domenica,33,0,sole,0,0,0,0,0,0,0,0
275,2015-11-17,9,martedì,28,0,sole,0,0,0,0,0,0,0,0
276,2015-11-18,10,mercoledì,37,0,sole,0,0,0,0,0,0,0,0
277,2015-11-19,11,giovedì,34,0,sole,0,0,0,0,0,0,0,0
278,2015-11-20,11,venerdì,41,0,sole,0,0,0,0,0,0,0,0
279,2015-11-21,9,sabato,44,0,sole,0,0,0,0,1,0,1,0
280,2015-11-22,5,domenica,33,0,sole,1,0,1,0,0,1,0,1
281,2015-11-24,4,martedì,22,0,sole,0,0,0,0,0,0,0,0
282,2015-11-25,2,mercoledì,25,0,sole,0,0,0,0,0,0,0,0
283,2015-11-26,4,giovedì,30,0,sole,0,0,0,0,0,0,0,0
284,2015-11-27,3,venerdì,34,0,sole,0,0,0,0,0,0,0,0
285,2015-11-28,2,sabato,55,0,sole,0,0,0,0,0,0,1,0
286,2015-11-29,2,domenica,42,0,sole,1,0,0,0,1,1,0,0
287,2015-12-02,5,mercoledì,30,0,sole,0,0,0,0,0,0,0,0
288,2015-12-03,2,giovedì,38,0,sole,0,0,0,0,0,0,0,0
289,2015-12-04,4,venerdì,33,0,sole,1,0,0,0,0,1,1,1
290,2015-12-05,6,sabato,55,0,sole,0,0,0,0,0,0,0,0
291,2015-12-06,5,domenica,38,0,sole,0,0,0,0,0,0,0,0
292,2015-12-07,4,lunedì,28,0,sole,0,0,0,0,0,0,0,0
293,2015-12-08,5,martedì,30,Immacolata Concezione,sole,0,0,0,0,0,0,0,0
294,2015-12-09,3,mercoledì,32,0,sole,1,0,0,0,1,0,0,0
295,2015-12-10,2,giovedì,27,0,sole,0,0,0,0,0,0,0,0
296,2015-12-11,0,venerdì,42,0,sole,0,0,0,0,0,0,0,0
297,2015-12-12,1,sabato,50,0,sole,0,0,1,0,0,0,0,0
298,2015-12-13,3,domenica,39,0,sole,1,0,0,0,1,0,1,1
299,2015-12-15,2,martedì,26,0,sole,0,0,0,0,0,0,0,0
300,2015-12-16,5,mercoledì,30,0,sole,0,0,0,0,0,0,0,0
301,2015-12-17,5,giovedì,30,0,sole,0,0,0,0,0,0,0,0
302,2015-12-18,4,venerdì,30,0,sole,0,0,0,0,0,0,0,0
303,2015-12-19,4,sabato,42,0,sole,0,0,0,0,0,0,0,0
304,2015-12-20,3,domenica,32,0,sole,1,0,1,0,1,1,1,1
305,2015-12-22,5,martedì,25,0,sole,0,0,0,0,0,0,0,0
306,2015-12-23,5,mercoledì,26,0,sole,0,0,0,0,0,0,0,0
307,2015-12-24,7,giovedì,19,0,sole,0,0,0,0,0,0,0,0
308,2015-12-26,4,sabato,19,Santo Stefano,sole,0,0,0,0,0,0,0,0
309,2015-12-27,2,domenica,24,0,sole,0,0,0,0,0,0,0,0
310,2015-12-29,2,martedì,28,0,sole,0,0,0,0,0,0,0,0
311,2015-12-30,7,mercoledì,20,0,sole,0,0,0,0,0,0,0,0
312,2015-12-31,4,giovedì,11,Ultimo dell'Anno,sole,0,0,0,0,0,0,0,0
313,2016-01-02,0,sabato,26,0,pioggia neve nebbia ,0,0,0,0,0,0,0,0
314,2016-01-03,2,domenica,30,0,pioggia nebbia ,0,0,0,0,0,0,0,0
315,2016-01-05,3,martedì,26,0,neve ,0,0,1,0,1,1,1,0
316,2016-01-06,4,mercoledì,25,Epifania,pioggia nebbia ,0,0,0,0,0,0,0,0
317,2016-01-07,0,giovedì,18,0,nebbia ,0,0,0,0,0,0,0,0
318,2016-01-08,3,venerdì,27,0,sole,0,0,0,0,0,0,0,0
319,2016-01-09,5,sabato,43,0,pioggia nebbia ,0,0,0,0,0,0,0,0
320,2016-01-10,6,domenica,39,0,nebbia ,1,0,0,0,0,1,0,0
321,2016-01-12,7,martedì,15,0,sole,0,0,0,0,0,0,0,0
322,2016-01-13,5,mercoledì,25,0,sole,0,0,0,0,0,0,0,0
323,2016-01-14,2,giovedì,27,0,pioggia ,0,0,0,0,0,0,0,0
324,2016-01-15,3,venerdì,33,0,sole,0,0,0,0,0,0,0,0
325,2016-01-16,4,sabato,48,0,sole,0,0,1,0,0,0,0,1
326,2016-01-17,3,domenica,33,0,sole,1,0,0,0,1,1,1,0
327,2016-01-19,-2,martedì,25,0,sole,0,0,0,0,0,0,0,0
328,2016-01-20,-1,mercoledì,29,0,sole,0,0,0,0,0,0,0,0
329,2016-01-21,-1,giovedì,31,0,sole,0,0,0,0,0,0,0,0
330,2016-01-22,1,venerdì,39,0,sole,0,0,0,0,0,0,0,0
331,2016-01-23,1,sabato,55,0,sole,0,0,0,0,0,0,1,0
332,2016-01-24,0,domenica,41,0,sole,1,0,1,0,1,1,0,1
333,2016-01-26,3,martedì,33,0,sole,0,0,0,0,0,0,0,0
334,2016-01-27,4,mercoledì,30,0,sole,0,0,0,0,0,0,0,0
335,2016-01-28,7,giovedì,23,0,sole,0,0,0,0,0,0,0,0
336,2016-01-29,8,venerdì,39,0,sole,0,0,0,0,0,0,0,0
337,2016-01-30,7,sabato,45,0,pioggia nebbia ,0,0,0,0,0,0,0,0
338,2016-01-31,6,domenica,32,0,nebbia ,1,0,1,0,1,1,1,1
